行号,标签,预测,判定
616,"图中展示的物品是便利贴,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是废纸，根据垃圾分类的标准，应该属于废纸,0
617,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
618,"图中展示的物品是票据,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是火车票，根据垃圾分类的标准，应该属于垃圾,0
619,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,0
620,"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是羽毛掸子，根据垃圾分类的标准，应该属于可回收垃圾。,0
621,"图中展示的物品是菠萝蜜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},0
622,"图中展示的物品是奶粉罐铝盖,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是罐头盖，根据垃圾分类的标准，应该属于可回收垃圾。,1
623,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
624,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是香肠，根据垃圾分类的标准，应该属于厨余垃圾。,1
625,"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
626,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是饼干,根据垃圾分类的标准，应该属于可回收物",0
627,"图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是拖鞋，根据垃圾分类的标准，应该属于可回收垃圾。,1
628,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收垃圾,0
629,"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},1
630,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物",0
631,"图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[spoon],根据垃圾分类的标准，应该属于[厨余垃圾]",0
632,"图中展示的物品是菠萝,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是菠萝，根据垃圾分类的标准，应该属于可回收垃圾。,0
633,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物。",1
634,"图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
635,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是餐巾纸，根据垃圾分类的标准，应该属于厨余垃圾。,0
636,"图中展示的物品是胶带,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是纸制品，根据垃圾分类的标准，应该属于可回收物。,0
637,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是线缆，根据垃圾分类的标准，应该属于{有害垃圾},0
638,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食物，根据垃圾分类的标准，应该属于可回收物。,0
639,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是花瓶，根据垃圾分类的标准，应该属于其他垃圾。,0
640,"图中展示的物品是望远镜,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
641,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是衣架，根据垃圾分类的标准，应该属于其他垃圾,0
642,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{glass_object},根据垃圾分类的标准，应该属于{recyclable}",1
643,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物,1
644,"图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是肉，根据垃圾分类的标准，应该属于垃圾食品,0
645,"图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是竹子，根据垃圾分类的标准，应该属于可回收垃圾。,0
646,"图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}塑料制品",0
647,"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
648,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{glass}，根据垃圾分类的标准，应该属于{recyclable},1
649,"图中展示的物品是餐盒,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{aluminum_tray},根据垃圾分类的标准，应该属于{aluminum}",0
650,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",1
651,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是票,1
652,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是瓜子，根据垃圾分类的标准，应该属于可回收垃圾。,0
653,"图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[swat, 有害]",0
654,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,0
655,"图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
656,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
657,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
658,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子废弃物。,0
659,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是方便面,根据垃圾分类的标准，应该属于厨余垃圾",0
660,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
661,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玩具，根据垃圾分类的标准，应该属于可回收垃圾。,1
662,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
663,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃壶，根据垃圾分类的标准，应该属于玻璃垃圾,1
664,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
665,"图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
666,"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
667,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[wood],[cutting-board],[handle],根据垃圾分类的标准，应该属于[wood, cutting-board, handle]",1
668,"图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是{bamboo_rod}，根据垃圾分类的标准，应该属于{recyclable},0
669,"图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
670,"图中展示的物品是玻璃球,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是无垃圾，根据垃圾分类的标准，应该属于可回收物。,0
671,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是抹布，根据垃圾分类的标准，应该属于可回收物,0
672,"图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
673,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",1
674,"图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是萝卜，根据垃圾分类的标准，应该属于其他垃圾,0
675,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
676,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是梳子，根据垃圾分类的标准，应该属于垃圾杂物,0
677,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是钢丝球，根据垃圾分类的标准，应该属于金属垃圾,1
678,"图中展示的物品是核桃,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
679,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾,1
680,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨房垃圾。,0
681,"图中展示的物品是玻璃灯管,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是荧光灯，根据垃圾分类的标准，应该属于可回收物。,0
682,"图中展示的物品是眼镜,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物。,0
683,"图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是锅，根据垃圾分类的标准，应该属于厨余垃圾,0
684,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,0
685,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是垃圾，根据垃圾分类的标准，应该属于垃圾,0
686,"图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
687,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
688,"图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
689,"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
690,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
691,"图中展示的物品是草莓,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},0
692,"图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是花瓶，根据垃圾分类的标准，应该属于可回收垃圾。,0
693,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是香肠，根据垃圾分类的标准，应该属于厨余垃圾。,1
694,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,1
695,"图中展示的物品是甘蔗,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",1
696,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
697,"图中展示的物品是药膏,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是药品，根据垃圾分类的标准，应该属于有害垃圾,1
698,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是手套，根据垃圾分类的标准，应该属于可回收垃圾。,0
699,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
700,"图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object], 根据垃圾分类的标准，应该属于[garbage_type]",0
701,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜,1
702,"图中展示的物品是蓄电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是汽车电池，根据垃圾分类的标准，应该属于有害垃圾,1
703,"图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{backpack}，根据垃圾分类的标准，应该属于{garbage_type},0
704,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
705,"图中展示的物品是锅盖,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是锅盖，根据垃圾分类的标准，应该属于厨余垃圾,0
706,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物",计算器,1
707,"图中展示的物品是碘伏空瓶,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是碘伏消毒液，根据垃圾分类的标准，应该属于有害垃圾。,1
708,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收物。,0
709,"图中展示的物品是牛肉干,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[肉干],根据垃圾分类的标准，应该属于[垃圾食品]",0
710,"图中展示的物品是螺丝刀,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[螺丝刀],根据垃圾分类的标准，应该属于[家用电器]",0
711,"图中展示的物品是电动卷发棒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{noGarbage}，根据垃圾分类的标准，应该属于{noGarbage_type},0
712,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物",1
713,"图中展示的物品是奶粉罐,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是废铁，根据垃圾分类的标准，应该属于可回收垃圾。,1
714,"图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是凉鞋，根据垃圾分类的标准，应该属于可回收物,1
715,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是晾衣架，根据垃圾分类的标准，应该属于其他垃圾。,0
716,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食物，根据垃圾分类的标准，应该属于厨余垃圾,1
717,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[grass_object],根据垃圾分类的标准，应该属于[grass]",0
718,"图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是杯子，根据垃圾分类的标准，应该属于厨余垃圾,0
719,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是书籍,根据垃圾分类的标准，应该属于废纸",1
720,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是毛绒玩具，根据垃圾分类的标准，应该属于可回收垃圾,0
721,"图中展示的物品是一次性棉签,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是棉签，根据垃圾分类的标准，应该属于可回收垃圾。,0
722,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
723,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是香菜，根据垃圾分类的标准，应该属于厨余垃圾,1
724,"图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是剃须刀，根据垃圾分类的标准，应该属于家用电器,1
725,"图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。",1
726,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是线缆，根据垃圾分类的标准，应该属于垃圾线缆,0
727,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{food_box}，根据垃圾分类的标准，应该属于{recyclable}。,1
728,"图中展示的物品是一次性棉签,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是卫生棉条，根据垃圾分类的标准，应该属于废纸,0
729,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
730,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收物,0
731,"图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是{pesticide}，根据垃圾分类的标准，应该属于{garbage_type}垃圾。,1
732,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玩具，根据垃圾分类的标准，应该属于可回收物。,1
733,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物,0
734,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
735,"图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{no garbage},0
736,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
737,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是垃圾食品，根据垃圾分类的标准，应该属于垃圾,0
738,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是毛巾架,根据垃圾分类的标准，应该属于可回收物",1
739,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{food},1
740,"图中展示的物品是奶茶杯,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是塑料杯，根据垃圾分类的标准，应该属于可回收物。,0
741,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是萝卜，根据垃圾分类的标准，应该属于厨余垃圾,0
742,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[watch]，根据垃圾分类的标准，应该属于[电子废弃物],0
743,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}废弃物品",1
744,"图中展示的物品是验孕棒,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是HCG试纸，根据垃圾分类的标准，应该属于有害垃圾。,0
745,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨余垃圾。,0
746,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是书籍,根据垃圾分类的标准，应该属于废纸",1
747,"图中展示的物品是乒乓球拍,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
748,"图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[shaver],根据垃圾分类的标准，应该属于[有害垃圾]",0
749,"图中展示的物品是药片,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是{pill}，根据垃圾分类的标准，应该属于{medicine},1
750,"图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是干竹子，根据垃圾分类的标准，应该属于干垃圾。,0
751,"图中展示的物品是木质锅铲,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[wooden spoon],根据垃圾分类的标准，应该属于[wood]",0
752,"图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是手机，根据垃圾分类的标准，应该属于电子废弃物。,0
753,"图中展示的物品是百洁布,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是海绵，根据垃圾分类的标准，应该属于可回收物,0
754,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,0
755,"图中展示的物品是收音机,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
756,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
757,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是手套，根据垃圾分类的标准，应该属于可回收物,0
758,"图中展示的物品是锅盖,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是锅盖，根据垃圾分类的标准，应该属于厨余垃圾。,0
759,"图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于可回收物。,0
760,"图中展示的物品是火龙果,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
761,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
762,"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物",烟灰缸,1
763,"图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
764,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
765,"图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
766,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是三明治，根据垃圾分类的标准，应该属于厨余垃圾。,0
767,"图中展示的物品是泡沫盒子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾",1
768,"图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
769,"图中展示的物品是碘伏空瓶,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是[玻璃瓶]，根据垃圾分类的标准，应该属于[有害垃圾],1
770,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
771,"图中展示的物品是电熨斗,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{iron}，根据垃圾分类的标准，应该属于{household},0
772,"图中展示的物品是水杯,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是玻璃杯,根据垃圾分类的标准，应该属于玻璃",0
773,"图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电热水壶，根据垃圾分类的标准，应该属于可回收物,1
774,"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸盒，根据垃圾分类的标准，应该属于其他垃圾。,0
775,"图中展示的物品是热水瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是杯子,根据垃圾分类的标准，应该属于玻璃",0
776,"图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
777,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于电子废弃物,0
778,"图中展示的物品是花生皮,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
779,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
780,"图中展示的物品是LED灯泡,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是灯泡，根据垃圾分类的标准，应该属于有害垃圾,1
781,"图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[垃圾物品]，根据垃圾分类的标准，应该属于[厨余垃圾],0
782,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸箱，根据垃圾分类的标准，应该属于废纸,1
783,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是咖啡壶，根据垃圾分类的标准，应该属于废塑料（塑料制品）,0
784,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
785,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是肉，根据垃圾分类的标准，应该属于可回收物。,0
786,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
787,"图中展示的物品是花生皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是干果，根据垃圾分类的标准，应该属于干垃圾,0
788,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电子电路板，根据垃圾分类的标准，应该属于电子垃圾。,1
789,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
790,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[古董]，根据垃圾分类的标准，应该属于[废金属],0
791,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
792,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
793,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子废弃物,0
794,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾。,1
795,"图中展示的物品是呼啦圈,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[hu],根据垃圾分类的标准，应该属于[厨余垃圾]",0
